query,answer
The grandfather regularly visited his son's home and was unaware that the grandson routinely left toys left on the floor by his four- year- old grandson. The grandfather fell and was severely injured.,"Grant the son's motion, because the son had no duty to warn that the grandson might leave toys on the floor."
"A state has enacted an abortion statute in an attempt to justify the abortion process for termination of pregnancy. The state's statute provided that during the first trimester of pregnancy, a woman's right to choose to terminate the pregnancy was paramount and could not be restricted in any manner. After the first trimester, the right of a woman to obtain an abortion was limited to cases where it was demonstrated by a physician that an abortion was necessary to protect the life","unconstitutional, because the state's statuteimposes an undue burden on the right to obtainan abortion."
"A truck driver from State A and a bus driver from State B were involved in a collision in State B that injured the truck driver. The truck driver filed a federal tort action in State B based on negligence, seeking $100,000 in damages from the bus driver. What law of negligence should the court apply?",The court should determine which state's negligence law a state court in State B would apply and apply that law in this action.
"The city successfully condemned most of the privately-owned properties, but failed to reach agreement with nine residential property owners.",The taking for economic development purposes is proper because developing the city's economy constitutes a public use.
"A man and his neighbor owned homes on adjacent lots in a subdivision. The subdivision's recorded restrictions did not prohibit detached storage sheds, and several homeowners in the subdivision had placed such sheds in their backyards. Because the man and the neighbor thought the sheds were unsightly, they both agreed in writing not to place detached storage sheds in their respective yards. Their agreement was enforceable by and against all assignees, heirs, and successors.","Yes, because the restriction is binding on the daughter as a successor."
"A) A white-collar crime, if she didn't cash the check.",Attempted robbery.
"A young man suggested to his friend that they break into a neighbors house to steal a large-screen TV. The friend was angry with the young man and decided to use the opportunity to get even with him by having him arrested. The friend said he would help, and that night, he drove the young man to the neighbors house. The young man broke in while the friend remained inside. The friend called the police on his cell phone and then drove",No crime.
The farmer set the leaves on fire and went back to his barn to continue work.,"recover, because the farmer was negligent in leaving the fire unattended."
"A vacationer, on a winter ski holiday, visited a ski lift in a public park.",joint venture.
"Two Volleyball teams were competing in the National Volleyball Tournament Championship in a distant city. The team captain of the first team learned that the assistant coach of the second team was staying in the next room. The assistant coach used electronic devices placed against the wall to listen to and record conversations between the team captain and his teammates. The assistant coach later bragged to others about having eavesdropped on the team captain, and the team captain eventually heard about what the assistant","Yes, because the team captain had a reasonable expectation of privacy in his hotel room."
"A lawyer owned a 70-acre tract of land. In 1989, the lawyer sold 15 acres of the tract to a friend. The deed of conveyance contained the following clause:""The parties hereby covenant that if the grantor (the lawyer) proposes to sell any or all of the remaining 55 acres of the tract during (the friend's) lifetime, then the grantee shall have the right of first refusal to purchase said parcel on the same","win, because the lawyer's right of first refusal does not violate the Rule against Perpetuities because it is limited to his lifetime."
the sister,"The sister, because she is entitled to subjacent support for her land in its natural condition."
A 26-year-old graduate student knew that a classmate was a staunch supporter of animal rights.,the classmate's use of the brass knuckles exceeded consent under the circumstances.
"The landlord owned a two-story dwelling house and leased it completely furnished to a tenant for a 10-year period. Two years after the tenant entered into the leasehold agreement with the landlord, he subleases the house to his cousin.","not recover, because privity of estate does not exist between the landlord and sublessee."
"A federal statute extends federal minimum wage requirements to dry cleaning stores that serve the public at large. The statute contains express findings that, when combined, the wages received by dry cleaning workers have no substantial impact on the national economy and on the flow of goods and services in interstate commerce. These findings are supported by information presented to Congress during committee hearings on the legislation. A small dry cleaning store operates exclusively within a community in the center of a geographically large state. It has","Yes, because the wages paid by dry cleaning stores have a substantial impact on interstate commerce."
"After weeks of deliberation, the defendant decided to go to the library.",No crime.
A state initiated a criminal prosecution against the owner of a video store for selling a video that consisted entirely of pictures of nude sunbathers on a beach in a foreign country where nude public sunbathing is illegal. The state charged that selling the video violated its anti-obscenity law. The store owner defended on the ground that the prosecution violated his constitutional right to freedom of thought. Should the store owner prevail,"Yes, because mere portrayals of nudity are insufficient to justify a finding that the video is obscene as a matter of constitutional law."
"A homeowner and a contractor entered into a contract under which the homeowner agreed to pay the contractor $50,000 for remodeling the homeowner's basement according to a set of plans.","No, because the homeowner honestly disputed the amount he owed the contractor."
The following provisions are applicable to wholly natural persons.,The equal protection clause of the Fourteenth Amendment.
"During a run one morning, a jogger passed a bus. He stopped and went into the store to use the bathroom available inside the bus. Which of the following best describes the jogger's legal status in his utilization of the bus?",Public invitee.
Four men entered into a lease as tenants of a five-bedroom house. They each had a separate bedroom and used the fifth bedroom as a laboratory to manufacture the illegal drug cocaine. One of the men was the so-called money man; he provided the funds to make the rental payments and to purchase the laboratory equipment. One of the other men was the chemist; he had both an undergraduate and graduate degree in chemistry and knew the formula and procedure for,whether the statement was made during the course of and in furtherance of the conspiracy.
"An owner of an apartment building in a rundown section of town knew that one of his tenants was dealing drugs from his apartment. He also knew that the tenant's actions had led to some violent confrontations in the past, including one where a gun was discharged in the hallway outside the tenant's apartment. Because the tenant regularly paid his rent on time, the owner didn't take any action to try to evict the tenant.","recover, because the owner was aware that such danger existed because of the tenant's drug-dealing activities."
"An auto mechanic was repairing a car in his auto. shop when a spark ignited gasoline and oil residue on the floor. The mechanic managed to douse the flames, but not before the fire created giant billows of smoke that floats over onto a neighbor's property and caused the neighbor's home to be badly discolored. If the neighbor asserts a claim against the mechanic, the neighbor would most likely be able to recover for",negligence.
"A landowner, being fee simple owner of an apartment building, devised it ""to both my assistant and my friend as tenants in common. "" Thereafter, the assistant died intestate, leaving his daughter as his only surviving heir. While the assistant's estate was in administration, the friend agreed to convey his interest in the apartment building to the daughter.",to the daughter and her heirs and assigns.
"A hunter sat quietly in a forest, hiding behind some brush and waiting for deer to pass by him.","not prevail, if the police officer reasonably believed that he was under attack."
A defendant was being prosecuted on a charge of manslaughter in the first degree for causing the death of a 15-year-old girl on whom he had allegedly committed an abortion in his private clinic.,"unobjectionable, because a party can impeach his own witness by a prior inconsistent statement."
A private boarding school was deserted during spring break because students and teachers were away on vacation.,"denied, because the search was conducted by a private party."
"A property owner who owner her property in fee simple leased a three-story house and the 21 -acre tract upon which it stood to a friend for a term of 10 years. By the terms of the lease, the friend expressly covenanted to pay a monthly rental of $300 and to pay the taxes on the premises during the term of the lease. The lease also stipulated that the friend, as lessee, may not assign or sublease the","the developer, because the cousin would be held to the original leasehold contract."
"An environmentalist was very interested in environmental issues, but not protection of wetlands. He decided to dig out his lawn and put in tall grasses, reeds, and other marsh plants.","that the investor owns the property but has rented it out, so the investor does not have actual possession or the right to immediate possession of the land."
The woman owned land in fee simple simple.,"The friend has a life estate and the charity has a vested remainder, because the neighbor's interest was devisable."
"Two executives from a company in China agreed to steal trade secrets of a pharmaceutical company in the United States. They arranged a meeting to purchase the secrets from an unscrupulous employee of the pharmaceutical company in the company's New York office. The person selling the ""secrets"" was an undercover FBI agent.","No, legal impossibility is not a defense to the crime of conspiracy."
"A state built a casino and issued bonds to finance its destruction. On five occasions, there were episodes of violence in various casinos in the state. The state police attributed the violence to greed and fear at the casinos. To prevent such violence, the state legislature passes a statute permitting all gambling at privately owned casinos in the state. Is this law likely to be held constitutional if most casinos in the state were owned by those from out-of-state?","Yes, but only if the local interest in safety outweighs the burden of interstate commerce."
"A small town in the Northeast was not forced to build the biggest ice sculpture in the world due to a massive snow, a deep freeze, and viral coverage on the social media.","No, because there is a legitimate state or local interest here which is promoted by an even-handed procedure to control the flow of traffic for public safety, and the impact on commerce is incidental."
"Carol Collector was a serious antique car buyer, and was always searching for Thunderbirds in bad shape.","Carol, because the ""as is"" disclosure was not totally effective."
"A university student, a citizen of State A, believes that her university violated federal law when it eliminated funding for the women's varsity volleyball team. She has sued the university, a nonprofit corporation located in State A, and the university's athletic director, a citizen of State A, in federal court in State A. What is the best method of serving the defendants?",Service as required by State B's rules of civil procedure.
The creditor gave a false account of the borrower's ability to pay.,It was violative of the statute of frauds.
"When Congress enacted the appropriations statute for operating all federal executive agencies, its members expected that the offices of those agencies would be open five days per week, but Congress did not include such a requirement in its appropriations statute or in any other statute. Is the President's order constitutional?","No, because when they passed the statute appropriating monies for the operation of executive agencies, members of Congress assumed that those agencies' offices would be open five days per week."
The fortuneteller told fortunes by means of Tarot cards.,"prevail, if the fortuneteller did not honestly believe that the woman would live to be 100 years of age."
"A major bank foreclosed on a consumer mortgage. After the property was sold at sheriff's sale for $50,000, the bank sent the consumer due notice of a deficiency still owing of $10,000. The original note, however, had limited bank's recourse to $50,000 or higher. There was no response and the bank entered a deficiency judgment for $10,000. When it started execution proceedings to collect the $10,000, the defendants entered a","No, the court will preclude the entrance of the deficiency judgment because the limitation clause is still enforceable and is supported by public policy generally against deficiency judgments."
A customer at a fish market was leaving the store when he slipped on a piece of eel.,"admissible, because it is relevant as to the customer's contributory negligence."
"During a defendant's trial for driving while intoxicated, the prosecutor called a toxicologist to testif' as an expert witness. The toxicologist testified that the defendant's blood alcohol level, registered after his arrest, was 0.","reversed, because the jury might determine that the instruction in effect relieves the prosecutor of the burden of proof beyond a reasonable doubt."
There is no time period between contract formation and final completion of performance.,A partially executed contract means that one party has completed performance while the other party has only promised.
A suspected drug dealer was arrested after selling three grams of heroin to undercover police agents.,neither of the indictments.
A state court ordered possession of the land surrendered to the corporation upon deposit in court of a sum deemed adequate to cover damages that might be awarded.,violation of procedural due process.
Each year the state provides a number of non-interest-bearing loans to aliens seeking U. S. citizenship.,"win, because classifications by a state that are based on alienage are inherently suspect and subject to close judicial scrutiny."
The owner of a large family estate decided not to sell the property. The owner entered into a valid written brokerage agreement with a real estate broker.,"$75,000, or the commission equivalent of 5 percent on the sale of the property for$1,500,000, since the consummation condition to the owner's duty to pay the commission was excused by the owner's refusal without cause to accept the buyer's offer and perform the land sale contract."
"A witness in a murder case does not make the same statement faithfully, but rather he has given different versions of his observations at different times to different persons and investigators. The defense counsel impeached his testimony by bringing up prior inconsistent statements and accusing him of lying at trial. The prosecution then attempted to rehabilitate his credibility by referencing prior consistent statements. Prior consistent statements are not generally admissible because they are said to be repetitive, cumulative and","Yes, because it is being used to rehabilitate a witness whose credibility was attacked."
"The president of a pharmaceutical firm received a report from his testing bureau that a manufactured lot of the firms anticancer prescription medication was well above strength. Concerned about being able to fulfill contractual commitments, the president instructed his staff to deliver the defective lot. A cancer patient who had been maintained on the drug died shortly after beginning to take the defective pills. Medical evidence established that the patient would have lived longer had the drug been at full strength, but would","No, because the jury could have found that the presidentÕs conduct was sufficiently reckless to constitute murder."
"An American franchise operates as an importer and distributor of bicycles manufactured by a foreign country, and maintains several warehouses for the retail distribution of the bicycles. A warehouse located in a county handles the distribution of bicycles for several states. The bikes and bike tires are shipped separately to the county warehouse. The tires are mingled, stacked, and stored in the warehouse along with various other tires. The bicycles, on the other hand, arrive completely assembled",tires only.
"An aspiring actress, whose auditions had not been going well, was forced to pawn her mother's pearls to pay rent and buy food.",guilty of both larceny and conspiracy to commit larceny.
In which situation would the defendant most likely not be guilty of murder?,"The defendant hates her husband after learning that he is having an affair with her best friend. She also knows that her husband owes a man a large amount of money, which he refuses to pay. Before the husband is about to leave for work, the defendant looks out the window and sees the man hiding outside with a gun. The defendant decides not to warn the husband, who then walks outside and is shot and killed by the man."
"The land-development company did not create, sell, or convey any real property; the land-development company only owned the land and never created any plats.","not succeed, because the land development company's instrument of March 2001 effectuated an abrogation of the deed restrictions on the country club's use of its property."
A professor employed by a state university is a well- known critic of foreign policy and has sometimes publicly stated that he wished for the United States to suffer some collective political tragedy in retribution for all the harms it does to the world.,"not prevail, because the broadcast was privileged as being in the public interest."
The tipper did not state the two men's color.,"granted, because the police did not have probable cause to conduct the search of her purse."
A woman joined a website to get her credit reports. The website required creation of an account before she could enter.,The company will prevail because the provision notifying her of the contract is in bold and the contract is easily accessible.
A pet breeder is in the business of breeding zebras at his cattle ranch where he has a stable of prolific cows who are very fertile. The newborn calves need constant attention and care. One day one of the employees inadvertently leaves the fence door open and a newly-born zebra breaks free and goes to his neighbor's land. The breeder went to the neighbor's land to retrieve the zebra for,"Yes, because he had a limited privilege to enter the land to prevent harm to his chattel."
"The neighbor, an adjoining land owner, does not construct a right-of-way over a strip of land.","hold in the sculptor's favor, because mere non- use, however long continued, will not as a rule effectuate an abandonment."
"A husband and his passenger were killed in an auto collision involving a defendant. The husband's wife now brings an action to recover damages for loss of society and companionship. The wife testified that she and her husband had a close relationship and that they were happily married for over 15 years. Then on cross-examination, defendant's counsel asked her if she ""was aware of the affair that her husband was having with his wife?The wife's","unobjectionable, because plaintiff's knowledge of such an affair was probative of the value to be placed on her loss."
The sale of pizza is not enforceable if the seller changes his mind prior to acceptance?,"A merchant writes buyer offering to sell the widget for $35,000."
The woman's action was premised on her assertion that each lot in the subdivision was sold with a restriction on placing mobile homes.,The mobile-home restriction would be enforceable because a common development scheme had been established for the entire subdivision.
"The widower had one son and two daughters: one was unmarried and the other two were married with children. When he became chronically ill and could not care for himself, his unmarried daughter moved into his home to take care of him. As time went on, the widower became senile, lost touch with reality, and required continuous care. When that happened, the caretaking daughter made out a deed to herself as grantee","Yes, because he did not have the mental capacity to understand the nature of his act or the meaning of the legal instrument he signed.a"
"The farmer sent the retailer a fax to say that he can only send 50 bushels of strawberries, because he is owed 75 bushels of strawberries.",requirements contract.
"Following their law school graduation party, a graduate and his roommate were driving home in an automobile that was not owned and operated by the graduate.",admissible as an admission.
"At his arraignment, the judge advised the defendant of his right to have counsel appointed for him. The defendant, however, told the judge that he wanted to represent himself and waive his right to a jury trial.",reverse both the conviction and the reimbursement order because the defendant was denied the right to represent himself.
"A resident in an exclusive residential area is a marine biologist. To aid in his study of sharks, he had a large tank built in his backyard in which he placed a hammerhead shark. Aside from a smell that emanated from the tank, some neighbors were concerned and afraid to let their children outside for fear that they would wander onto the resident's property. In order to convince his neighbors that they had nothing to fear, the","not recover, because she did not suffer the type of harm normally inflicted by a shark."
"While walking across the street one afternoon, a pedestrian was hit by a car and thrown down in the middle of the intersection. The driver of the vehicle did not stop. Although he never lost consciousness, the pedestrian was in excruciating pain and has been taking strong painkillers since the accident that have affected his memory of the accident. At trial, the pedestrian calls a renowned hypnotist to testify. The hypnotist proposes to test","inadmissible, because it is hearsay not within any recognized exception."
A female employee was fired as an executive assistant for gender discrimination against the employer.,"Yes, because that kind of testimony is reliable and not excludable as hearsay."
"A manufacturer of widgets entered into a written agreement to deliver 500 widgets to a buyer. The contract provided that the widgets would be shipped C. O. D. The manufacturer subsequently delivered 300 widgets, which were accepted and paid for by the buyer. If the buyer brings suit for breach of contract against the manufacturer, the buyer will most likely","recover, because the manufacturer failed to perform his contractual obligation."
"A husband was about to leave his home for work one morning when his wife ran in from the kitchen scolding that their 4-year-old son had just swallowed some medicine that had been prescribed for use as a skin lotion. Dashing to the car, the husband then drove his wife and ailing son to the nearest hospital. On the way to the hospital, the son had a seizure and stopped breathing. Seconds later, the car went out","not prevail, because the husband was acting reasonably in an emergency."
"A woman went to a commercial building for a business meeting. After the meeting, she was injured in the building's elevator as it suddenly crashed to the third floor. She did not sue the building's owner, but at trial the only evidence she had regarding the issue of negligence was that she was in the elevator when it malfunctioned. Will the trial judge dismiss the case as a matter of law without letting it go to the jury?","No, because the elevator was under the owner's exclusive control and accidents of this nature do not ordinarily occur in the absence of negligence."
"The husband and wife had been married for 10 years. The wife obtained a divorce from the husband after learnitg that he was engaging in an extramarital love affair with one of his co-workers. Following the divorce, the husband was arrested and charged with embezzling funds from his employer during a two- year period. In preparing for trial, the prosecuting attorney interviewed the wife, who stated that during their marriage, the husband admitted committing the","admissible, under the spousal privilege but not admitted under the marital privilege."
A private company had no legal authority to create a city ordinance and a company has no constitutional right to get its way.,The manufacturer's case is moot.
"A father lived with his son, who was addicted to a non addictive white powder. Under its influence, the son often became violent and physically abused his father. As a result, the father always lived in fear. One night, the fatherheard his son on the front stoop making loud obscene remarks. The father was certain that his son was under the influence of crack and was terrified that he would be physically beaten again. In his fear","Give the self-defense instruction, because the evidence was sufficient to raise the defense."
"A landlord orally leased a commercial building to a tenant for a 10-year term, which ended five years ago.","Yes, because they were trade fixtures."
"At 6:00p. m. onNovember 14, a driver was operating his automobile along Main Street. As the driver was approaching the intersection of Main Street and First Avenue, a motorist, who was driving straight through a red light, suddenly appeared before him. Trying to avoid the motorist, the driver veered his car onto the sidewalk. The car landed in a deep hole in the sidewalk. This hole had been dug by a construction company, which","prevail, because sovereign immunity would not attach to non-delegable duties, which are proprietary in nature."
The tenant,"The landlord, because he gave proper notice to terminate the tenancy."
"A police officer entered a private home in response to a reported disturbance and found no disturbance but did witness the two male residents engaging in consensual sexual relations with each other. She arrested and charged them with ""deviate sexual intercourse"", a state law that prohibits two persons of the same sex from engaging in mutual sexual relations. After conviction and unsuccessful appeals in the state courts, the men appealed to the United States Supreme Court.",The statute is unconstitutional primarily because it infringes the men's right to freedom of expression under the First Amendment.
A customer went into a bar to have a drink. The bar was crowded because a championship boxing match was being shown on the television sets.,"prevail, because the person who punched the customer was employed as a bouncer."
"On March 1, a man and a contractor executed a contract that provided that the contractor would construct a two-level redwood deck on each of the eight specified beach houses in a city that the man owned, with all work to be completed by May 15. The contract provided the following:""The cost is $2,500 per deck, to be paid upon completion of the decks in each of the eight beach houses. ""On the morning of March 25, the man went to one","$20,000. 00"
The contract required that the videographer use high definition equipment.,"According to the customary trade practice of the video industry, a $10,000 fee for filming and editing means $10,000 in addition to a supplemental charge if high definition equipment is used."
A senior associate in a law firm was conducting spot checks of other associates to determine who had taken documents that were missing from the firm's library and he stopped a young associate who said that he had personal papers in his briefcase.,Involuntary manslaughter.
The developer took the view that the cracks were developing because the investor's building was unsupported when it was constructed.,"The developer cannot be held liable simply upon proof that support was removed, but may be held liable if negligence is proved."
"A shop owner domiciled in State A was not a party to a contract, and did not seek damages for breach of contract.","No, because there is supplemental jurisdiction over the wholesaler's counterclaim."
"A grantor executed a deed by which he conveyed his apartment building for a consideration of one dollar, receipt of which was acknowledged, ""to my son for life, then to my uncle for life, but if my uncle moves to another state, to my brother for the life of my uncle, then to the heirs of my uncle if my uncle does not move to another state, and to the heirs of my brother if my",shifting executory interest pur autre vie.
A state corporation was not allowed to initiate suit to condemn land without the approval of the legislature.,The power of eminent domain may only be delegated directly to a private enterprise for a public related use or activity.
"An illegal alien and her three children live in a U. S. city. The city council has enacted an ordinance requiring citizens and legal aliens to pay a $100 ""school fee"" for each child enrolled in a city public school. Citizens and legal aliens are not required to pay the school fee. The city council has enacted this law to raise funds to hire additional teachers who are bilingual. The city determined that over 15% of children attending public schools","invalid, because denying educational services to children of undocumented aliens is not substantially related to an important governmental interest."
"The owner of a vacant lot in fee simple absolute and also record title is the shopkeeper. In 1960, the shopkeeper conveyed the property by general warranty deed as follows: ""The grantor hereby conveys the vacant lot to my friend, but if the property shall ever be used for church purposes, then to the children of my sister who reach the age of 25. "" At the time of the conveyance, the sister was single. Thereafter,",the friend only.
The gym owed him no duty of care at all.,A duty to warn of any known dangerous conditions on the premises.
An owner of a solar heated residence filed a lawsuit that tried to enjoin her neighbor from building a house that would completely interfere with her access to daily sunlight.,"Yes, because the proposed use is a private nuisance that unreasonably interferes with the owner's use and enjoyment of her property."
"A defendant was suspected of having burglarized his neighbor's apartment. The neighbor reported that his apartment had been ransacked and several items of clothing had been stolen. During the course of their investigation, two police detectives went to the defendant's place of work to interview him. After being advised of his Miranda rights, the defendant requested permission to call his attorney. Although his attorney was unavailable, the attorney's receptionist admonished him not to say anything.","suppress the confession because it was obtained in violation of his Fifth Amendment right to counsel, and the clothing because the search warrant was secured as a result of the confession."
"A man and a woman are zoning homeowners in a residential neighborhood. The man begins to operate a slaughterhouse in his backyard. The putrid smell from the slaughterhouse travels over the woman's property. The woman and her family members find the odor to be foul and nauseating. As a result of the man's slaughterhouse, the value of the woman's property was diminished by 20 percent, and the woman incurred expenses for prescription drugs",grant injunctive relief and award damages.
"A man was charged with assaulting another child. At trial, the prosecution seeks to introduce evidence that the man had twice been previously involved in similar cases with other children. The prosecution argues that these past crimes demonstrate the likelihood that the man molested this child. Defense counsel objects to the evidence regarding other children. The judge should find the evidence to be irrelevant","admissible, because the man's past crimes may be introduced to show that he is more likely to have committed the crime with which he is charged."
"Bea is not liable to Ann under the terms of their written agreement, because the applicable statute of limitations on Ann's antecedent claim against Carla expired the day before Ann filed her contract action against Bea.","Since Ann had a pre-existing duty to return Bea's golf clubs to her when the agreement between Ann and Bea was made, there was no consideration for Bea's promise to Ann."
"In a secluded county, where no prejudice festers, and discrimination never flourishes, there is a lovely lake, which the county has developed and maintained for recreational purposes.",The plaintiff will prevail unless the company can prove some important basis for the exclusion of women.
"Political parties conduct primaries, and the winning candidates in each office may have their names placed on the ballot. However, nominees of political bodies may only have their names placed on the ballot if they file a nominating petition signed by not less than 7% of those eligible to vote at the last election for the offices that they are seeking. The time for circulating the petition is 180 days, which is also the deadline governing party candidates in party primaries.","constitutional, because the election code is nonviolative of the equal protection clause."
"A plaintiff sued a defendant for injuries suffered in an automobile accident that occurred six months ago. The plaintiff claimed that the defendant drove through a red light and hit her as she was crossing the street. The posted speed limit at the scene of the accident was 25 m. p. h. In his case-in-chief, the defendant testified that the traffic light was green and he was driving carefully at 20 m. p. h. The plaintiff","admissible, as offered against the defendant."
A crane and the other factors that caused the accident were not the fault of the lawyer.,"The purpose. of the parking ordinance was tofacilitate access to the hydrant by fire trucks,not to protect against accidents like the onethat occurred when bricks fell on the lawyer'scar."
"A developer, owner of several hundred acres in a rural county, drafted a general development plan for the area. The duly recorded plan imposed elaborate limitations and restrictions upon the land in the plan, which was to be developed as a residential district.",equitable servitude.
"A distributor agrees to sell 100 tubes of growth hormone to a medical treatment center for $30,000. The contract has many clauses, including one that requires an express consent before assigning the contract. The distributor assigns its right to receive the funds. Will a court enforce the bar against assignment under these circumstances?","No, a bar of assignment does not apply to the right to receive the funds unless specifically stated."
"The defendant, who was walking on a public street, got into a heated argument with a stranger who had been singing and shouting obscenities while walking near him.","Yes, his use of a deadly weapon demonstrated the requisite intent to kill."
"Before a federal court may address a case, it has to be non-justiciable, i.e., involuntary.",It has to result in an advisory opinion
"A year ago, a very wealthy man died in a car accident. A woman, whose mother worked as a secretary to the wealthy man for years, filed a claim against the estate, alleging that she was the wealthy man's illegitimate daughter. At trial, the woman's attorney called the wealthy man's butler to testify. The butler testified that it was Common knowledge in the household that the wealthy man and the woman",overrule objection because the butler's testimony would qualify under the pedigree exception to the hearsay rule.
"A man invited several friends to come over to his house to watch a movie on television. While they were watching the movie, they discovered that a wolf was loose in the neighborhood. When the movie ended, one of the man's guests went out to get a hamburger. Which of the following would best describe the duty of care owed by the man to his guest?",A duty to warn of any known dangerous condition on the premises.
"A furniture dealer sold furniture to a young couple with perfect credit. They signed a contract that said that if they purchased new items on the account, they would not own the old purchases until the new ones were paid in full. That provision was in fine print on the reverse side of the papers. When husband lost his job, they had by that time paid for everything purchased on the account except for one chair they bought a few weeks earlier. The store sued, trying to repos","Yes, because a combination of factors makes it likely that the court will recognize unconscionability under these circumstances."
"A man decided to stop at a drive-through hamburger stand for a late snack. As he drove up to the drive-through line, the manager informed him that the restaurant was closing and no further orders would be accepted. She told the man that the last car to be served was the one directly in front of him.","successful, because the man intended to shoot the manager."
"The protester brought an action in federal court against a police officer, alleging that the officers use of force in arresting the protester violated the protesters state civil rights.","Seek a new trial, because the jury instruction affected the protesterÕs substantial rights."
"A plaintiff filed a tort action in state court but then failed to prosecute the action. The defendant moved to dismiss the action, and the court denied the motion in an order that stated: ""The defendant's motion to dismiss is denied, and this action is dismissed without prejudice."" The court accordingly entered judgment for the plaintiff. The plaintiff then filed the same claim against the defendant in federal court, invoking diversity jurisdiction.","Yes, because a dismissal with prejudice operates as a judgment on the merits."
"In the absence of a provision to the contrary in the articles of incorporation, the directors of a corporation elected for a specified term shall retire at the close of the term","can be removed from office at a meeting of the shareholders, with or without cause."
She should be found not guilty.,Battery.
The woman won't sue for her broken arm.,not recover.
"A rancher, being owner in fee simpleconveyed the property by warranty deed to a woman. The woman gave her niece a mortgage on the ranch to secure a loan from the niece to the woman in the amount of $500,000. The mortgage was recorded immediately. Two years later, the woman conveyed the ranch to a farmer by quitclaim deed.","not succeed, because the farmer did not promise to pay the mortgage debt."
"A defendant had been drinking at a bar for three hours and was visibly sober. A man entered the bar and sat down next to the defendant. After ordering a beer, the man turned to the defendant and said, ""Hey buddy, you're sure an ugly looking dude. "" The defendant ignored the man's insult and turned to walk away. The man then pushed the defendant against the bar and said, ""Your face makes me sick to","guilty, because his intoxication was voluntary."
The order form expressly limited acceptance to the terms of the offer.,"Yes, because the retailer assented to the terms by remaining silent until after August 1."
The common law joint tenancy is unmodified by statute. Title to the property in question is now in,the co-worker and the student as tenants in common.
"A scientist used his car to transport a large quantity of highly flammable petroleum derivatives that he needed for his scientific research. The petroleum derivatives were sold in ordinary glass gallon jugs. Shortly after putting the jugs in the back of his car, the scientist was driving along a city street. He was thinking about a difficult scientific question and not paying attention to his driving. As a result, he lost control of the","No, because it was unforeseeable that the doctor's injury would result from the type of harm threatened."
"In a trial of a defendant for armed bank robbery, the prosecutor presented overwhelming evidence of innocence.","Reverse the conviction, because the judge's action in directing the verdict denied the defendant his constitutional right to a trial by jury."
He was a member of the club and entitled to use the restroom,Trespasser.
"Late one afternoon, a woman was hitchhiking when she was picked up by a man. Shortly thereafter, the man stopped and parked his car in a roadside rest area. They were not smoking marijuana when another car skidded and crashed into the man's car.",admissible as an admission.
"After months of negotiations, the United States and Canada entered into a tax treaty that provided that neither country would impose income taxes on citizens of the other nation. The treaty, which was ratified by the Senate, was opposed by professional baseball and hockey players.","A ratified treaty is the supreme law of the land and, therefore, remains effective until superseded by another treaty or statute."
"Late one evening a man was driving home from his job as a security guard at a jewefry store. As the man approached a railroad crossing he noticed that the barriers to the crossing were closed. The man cautiously looked both ways for any train. Assuming that no train was coming, he proceeded across the railroad tracks. Suddenly, an oncoming train struck the man's car, completely demolishing it. The man was dead","sustain the objection, as evidence of subsequent remedial repairs is inadmissible."
"The woman was not hospitalized, lost her eye, and had several operations over several years. She could not return to work as an apprentice ballet dancer due to loss of coordination, constant headaches, and severe disfigurement. She is considered totally disabled. She had been training for the ballet for many years and, at the trial against the tortfeasor, she proved that she was considered a bright and uncoming student. The defendant claimed that this was still too","No, because some imprecision in the evidence regarding loss of earning capacity is to be expected and is not grounds for excluding the evidence."
"A buyer filed a lawsuit against a seller based on a contract allegedly executed at the time of the sale of the seller's hot dog stand to the buyer. Under the terms of the contract, the seller agreed to open a hot dog stand for a period of two years within a distance of two miles of the old hot dog stand, now owned by the buyer.","inadmissible, because the seller contests the authenticity of the written contract."
"A defendant is on trial for robbing a particular bank with his best friend. The friend has left the country and cannot be found. The prosecutor has called the friend's mother to testify to a conversation she had with her son the day before he left the country. She implored him not to go, but he said, ""Mom, I have to go. I was involved in a robbery at [the bank","Yes, as a statement against penal interest that is not testimonial under the confrontation clause."
"A person purchased a new car from a local car dealership. Over the next month, the purchaser drove the car a little more than 1,000 miles. The purchaser noticed that the car made a squeaking noise when the brakes were applied, so the purchaser took the car back to the dealership to have the mechanic take a look at it. The mechanic worked on the car and then told the purchaser that the problem had not been fixed. A few days later,","Yes, if the brakes were defective when the dealership sold the car to the purchaser."
A farmer owns a large farm on which he allows his friends to hunt during quail-hunting season. He does not provide his friends with any instructions about gun safety.,"No, because the neighbor was trespassing."
"After graduating from law school, a graduate moved to a city where she was offered a position in a movie theater. When she arrived, the graduate was told that her job was contingent on passing the state bar examination, which was being offered in January. In preparing for the bar examination, the graduate planned to take a bar review course. Although she had not pre-enrolled, the graduate planned to attend and pay for the course at registration. On the morning the","Yes, because the company made no effort to inform the prosecutor that the registration fee had been paid in full."
